business_code,name,tci_classification,official_classification,city_name,supplier_code,supplier_name
HO11663,Southern Panorama Cruises,budget,1str,Alappuzha (Alleppey),DR11538,Southern Panorama Cruises
HO10686,Lemon Tree Premier (HITEC City),moderate,4str,Hyderabad,DR11078,Lemon Tree Premier (HITEC City)
HO11910,Fariyas Resort,budget,5str,,DR11538,Fariyas Resort
HO10942,Southern Star,moderate,4str,Mysuru (Mysore),DR11057,Southern Star
HO12223,Atithi Resort & Spa,budget,4str,Pokhara,DR12655,Atithi Resort & Spa
HO12013,Gratitude Heritage,first-class,1str,Puducherry (Pondicherry),DR12658,Gratitude Heritage
HO11084,"Welcomhotel By ITC Hotels, Fort & Dunes",moderate,4str,Khimsar,DR10580,"Welcomhotel By ITC Hotels, Fort & Dunes"
HO11065,Clarion Inn,moderate,4str,Jaipur,DR11377,Clarion Inn
HO10379,Taj Santacruz,first-class,5str,Mumbai,DR10469,Taj Santacruz
HO12146,Palette Hill View Resorts,budget,3str,,DR11538,Palette Hill View Resorts
HO11756,Fortune Park Dalhousie,budget,5str,Dalhousie,DR11538,Fortune Park Dalhousie
HO12151,John's Farm & Home,budget,1str,Thodupuzha,DR12654,John's Farm & Home
HO11316,Renai Green Fields,budget,3str,Kumarakom,DR10884,Renai Green Fields
HO10850,Radisson Blu,moderate,5str,Kochi (Cochin),DR10374,Radisson Blu
HO11407,Landmark,moderate,3str,Gwalior,DR10284,Landmark
HO12211,The Pearl,budget,3str,Hassan,DR12216,The Pearl
HO10407,Taj Yeshwantpur,first-class,5str,Bengaluru,DR10514,Taj Yeshwantpur
HO10401,Abad Atrium,budget,3str,Kochi (Cochin),DR10898,Abad Atrium
HO12187,Laalee,first-class,1str,Jaipur,DR12415,Laalee
HO10562,La Villa,first-class,5str,Puducherry (Pondicherry),DR10976,La Villa
HO10838,Tranquil Resort,moderate,4str,Sultan Bathery,DR11143,Tranquil Resort
HO10357,Taj Club House,moderate,5str,Chennai,DR10892,Taj Club House
HO10554,Alila Fort Bishangarh,first-class,5str,Jaipur,DR10237,Alila Fort Bishangarh
HO10002,Atulyaa Taj,budget,3str,Agra,DR10027,Atulyaa Taj
HO12327,Bamboo Grove,budget,1str,Bandhavgarh,DR12773,Bamboo Grove
HO10304,Novotel,moderate,5str,New Delhi,DR10370,Novotel
HO11398,Hariyali Dhani Camps & Resort,moderate,4str,Dheerpura,DR11948,Hariyali Dhani Camps & Resort
HO11650,Amal Tamara,first-class,5str,Alappuzha (Alleppey),DR11026,Amal Tamara
HO10025,Aurika,lux,5str,Udaipur (RJ),DR10069,Aurika
HO11262,"Lemon Tree Premier, The Atrium",moderate,4str,Ahmedabad,DR11517,"Lemon Tree Premier, The Atrium"
HO10688,Vivanta,moderate,5str,Hyderabad,DR10543,Vivanta
HO10745,Lemon Tree,moderate,3str,Vadodara,DR11146,Lemon Tree
HO10170,The Elgin Silver Oaks,first-class,4str,Kalimpong,DR10560,The Elgin Silver Oaks
HO11483,The Experience Resort,first-class,1str,Udaipur (RJ),DR12239,The Experience Resort
HO10251,Karni Bhawan,moderate,3str,Jodhpur,DR10109,Karni Bhawan
HO10499,Ranthambhore Regency,moderate,3str,Ranthambore,DR10851,Ranthambhore Regency
HO10671,Tuli Tiger Resort,moderate,3str,Kanha,DR11097,Tuli Tiger Resort
HO11336,Fortune Resort Grace,first-class,1str,Mussoorie,DR11210,Fortune Resort Grace
HO12395,ABC,budget,5str,,DR10416,ABC
HO12079,Sunderban Tiger Camp,first-class,4str,Sunderbans,DR12564,Sunderban Tiger Camp
HO10015,East View,budget,3str,Varanasi,DR10176,East View
HO11406,Casa Anjuna,moderate,4str,Goa,DR11306,Casa Anjuna
HO10776,Pepper County Homestay,budget,1str,Thekkady (Periyar/Kumily),DR10473,Pepper County Homestay
HO11843,Sheraton Grand Palace,budget,5str,,DR11538,Sheraton Grand Palace
HO11897,Courtyard By Marriott,budget,4str,Trichy (Tiruchirappalli),DR11538,Courtyard By Marriott
HO10526,Rajakkad Estate,moderate,2str,Dindigul,DR10597,Rajakkad Estate
HO10486,Deogarh Mahal,moderate,3str,Deogarh,DR10781,Deogarh Mahal
HO11935,Krishna Palace,budget,4str,Hampi (Hosapete),DR11538,Krishna Palace
HO10503,Shahpura Bagh,first-class,4str,Shahpura (Jaipur),DR10931,Shahpura Bagh
HO10442,Sarovar Premiere,moderate,4str,Jaipur,DR10775,Sarovar Premiere
HO10169,Evolve Back,lux,5str,Kabini,DR10551,Evolve Back
HO10982,Sandesh Pride,budget,3str,Mysuru (Mysore),DR11313,Sandesh Pride
HO10860,JW Marriott,first-class,5str,Kolkata,DR10407,JW Marriott
HO10530,Lemon Tree,first-class,4str,Gangtok,DR10698,Lemon Tree
HO10584,Karni Bhawan Palace,moderate,2str,Bikaner,DR11009,Karni Bhawan Palace
HO12019,La Maison Radha,budget,3str,,DR11538,La Maison Radha
HO10117,Holiday Inn Jaipur City Centre,moderate,5str,Jaipur,DR10268,Holiday Inn Jaipur City Centre
HO11177,Lilypool The Heritage Jal Mahal,moderate,4str,Jaipur,DR11557,Lilypool The Heritage Jal Mahal
HO11413,Amrapali - House Of Grace,lux,1str,Goa,DR11516,Amrapali - House Of Grace
HO10347,The Residency Towers,moderate,5str,Chennai,DR10891,The Residency Towers
HO11894,Damodra Desert Camp,budget,3str,Jaisalmer,DR11538,Damodra Desert Camp
HO10637,Dewalokam,moderate,3str,Thodupuzha,DR10425,Dewalokam
HO10028,Poppy's,moderate,4str,Madurai,DR10166,Poppy's
HO12153,Baljees Regency,budget,3str,,DR11538,Baljees Regency
HO11450,Manali Heights,moderate,4str,Manali,DR10633,Manali Heights
HO11078,Intercontinental (Mahabalipuram),first-class,4str,Mamallapuram (Mahabalipuram),DR11384,Intercontinental (Mahabalipuram)
HO12224,Soaltee Westend Resort,moderate,standard-resort,Chitwan,DR12655,Soaltee Westend Resort
HO10453,Gajner Palace,moderate,4str,Gajner,DR10578,Gajner Palace
HO10011,Tajview - IHCL SeleQtions,moderate,5str,Agra,DR10047,Tajview - IHCL SeleQtions
HO10207,Beleza By The Beach,moderate,4str,Goa,DR10699,Beleza By The Beach
HO10180,"Welcomhotel By ITC Hotels, Kences Palm Beach",first-class,5str,Mamallapuram (Mahabalipuram),DR10180,"Welcomhotel By ITC Hotels, Kences Palm Beach"
HO11984,The Fern Residency,budget,4str,Bhopal,DR11538,The Fern Residency
HO10556,Ranthambhore Kothi,moderate,4str,Ranthambore,DR10935,Ranthambhore Kothi
HO11385,The Alampara,first-class,1str,Chengalpattu,DR12049,The Alampara
HO10316,ITC Maurya,lux,5str,New Delhi,DR10364,ITC Maurya
HO10009,Samode Haveli,first-class,5str,Jaipur,DR10078,Samode Haveli
HO10662,Chitvan Jungle Lodge,moderate,3str,Kanha,DR11053,Chitvan Jungle Lodge
HO10086,WelcomHeritage Mandir Palace,budget,4str,Jaisalmer,DR10304,WelcomHeritage Mandir Palace
HO11649,Holiday Inn Express & Suites Racecourse,budget,5str,,DR11538,Holiday Inn Express & Suites Racecourse
HO12293,Park Prime,budget,4str,Jaipur,DR12730,Park Prime
HO11403,Citrus Cunningham,moderate,4str,Bengaluru,DR11881,Citrus Cunningham
HO10154,The Elgin,first-class,4str,Darjeeling,DR10654,The Elgin
HO10517,King's Abode,moderate,1str,Ranakpur,DR10740,King's Abode
HO12014,Suba Galaxy,budget,1str,,DR11538,Suba Galaxy
HO11638,Palace Heights,budget,3str,New Delhi,DR10371,Palace Heights
HO10353,Golden Sarovar Portico,budget,3str,Amritsar,DR10839,Golden Sarovar Portico
HO11694,Denzong Regency,budget,4str,,DR11538,Denzong Regency
HO12203,Bloom Hotel (Worli),budget,1str,Mumbai,DR10968,Bloom Hotel (Worli)
HO12069,Vivanta Dal View,first-class,5str,Srinagar,DR12437,Vivanta Dal View
HO11439,Patan Mahal,moderate,3str,Patan (RJ),DR11180,Patan Mahal
HO12035,Highland,budget,3str,,DR11538,Highland
HO10797,Godwad Safari Camp,moderate,4str,Pali (RJ) ,DR11115,Godwad Safari Camp
HO10679,Ambatty Greens Resort,first-class,4str,Coorg (Kodagu),DR11075,Ambatty Greens Resort
HO11245,Ahilya By The Sea,first-class,4str,Goa,DR11437,Ahilya By The Sea
HO11403,Citrus Cunningham,moderate,3str,Bengaluru,DR11881,Citrus Cunningham
HO10500,Eastend,moderate,3str,Munnar,DR10934,Eastend
HO11492,Royale Sarovar Portico,moderate,4str,Agra,DR12055,Royale Sarovar Portico
HO10279,Dev Shree,moderate,3str,Deogarh,DR10544,Dev Shree
HO11890,The Bordi,first-class,1str,Jaisalmer,DR12645,The Bordi
HO10741,The Royal Residency,moderate,3str,Kushinagar,DR11124,The Royal Residency
HO10758,Alsisar Mahal,moderate,3str,Alsisar,DR10750,Alsisar Mahal
HO11851,Vivanta,moderate,3str,Kolkata,DR12441,Vivanta
HO11801,Villa Siolim - Ama Stays & Trails,budget,1str,,DR11538,Villa Siolim - Ama Stays & Trails
HO11623,Courtyard By Marriott (Hebbal),budget,5str,,DR11538,Courtyard By Marriott (Hebbal)
HO11057,Pride Amber Vilas Resort,moderate,4str,Jaipur,DR11424,Pride Amber Vilas Resort
HO10633,The Westin (Rajarhat),first-class,5str,Kolkata,DR10436,The Westin (Rajarhat)
HO11027,Ranbanka Palace,moderate,3str,Jodhpur,DR10903,Ranbanka Palace
HO12273,Niravi,first-class,1str,Jaipur,DR12696,Niravi
HO12313,Dwarika's Resort,lux,standard-resort,Dhulikhel,DR12655,Dwarika's Resort
HO10383,Coconut Lagoon,first-class,4str,Kumarakom,DR10724,Coconut Lagoon
HO11021,Shahpura Residency,budget,1str,Jaipur,DR10092,Shahpura Residency
HO10158,Taj Cidade De Goa Heritage,first-class,5str,Goa,DR10656,Taj Cidade De Goa Heritage
HO11089,Grand Hyatt,first-class,5str,Kochi (Cochin),DR11453,Grand Hyatt
HO11355,The Lalit,first-class,5str,Jaipur,DR10618,The Lalit
HO10985,Radisson,first-class,5str,Jodhpur,DR10665,Radisson
HO10226,Grand Hotel D'Europe,moderate,heritage,Puducherry (Pondicherry),DR10013,Grand Hotel D'Europe
HO10814,Daspan House,moderate,1str,Jodhpur,DR11171,Daspan House
HO10220,Naveen,moderate,4str,Hubballi (Hubli),DR10614,Naveen
HO11236,School Estate,moderate,1str,Coorg (Kodagu),DR11303,School Estate
HO10997,Deventure,budget,1str,New Delhi,DR11234,Deventure
HO10646,Kings Lodge,first-class,4str,Bandhavgarh,DR11048,Kings Lodge
HO12188,Manuscript Jhilwara Haveli,moderate,1str,Udaipur (RJ),DR12407,Manuscript Jhilwara Haveli
HO10296,Hadoti Palace,moderate,3str,Bundi,DR10830,Hadoti Palace
HO11920,Grand Dewachen,moderate,1str,Kaza,DR12647,Grand Dewachen
HO10295,Roseate House,first-class,5str,New Delhi,DR10389,Roseate House
HO11433,The Zion,moderate,4str,Shimla,DR10840,The Zion
HO11848,The Fern Residency,budget,3str,Bhopal,DR11538,The Fern Residency
HO12181,Nilambagh Palace,budget,4str,Bhavnagar,DR11538,Nilambagh Palace
HO10393,"The Zuri Kumarakom,Kerala Resort And Spa",first-class,5str-lux,Kumarakom,DR10112,"The Zuri Kumarakom,Kerala Resort And Spa"
HO12113,Edakkal Hermitage,budget,3str,Wayanad,DR10996,Edakkal Hermitage
HO10270,Amanbagh,lux,5str-lux,Alwar,DR10518,Amanbagh
HO12169,The India Benares,moderate,4str,Varanasi,DR11538,The India Benares
HO10460,Umaid Bhawan Palace,lux,5str,Jodhpur,DR10829,Umaid Bhawan Palace
HO11653,Justa Mg Road,budget,3str,,DR11538,Justa Mg Road
HO11690,Old Magazine House,budget,3str,,DR11538,Old Magazine House
HO10572,Woodville Palace,moderate,4str,Shimla,DR10611,Woodville Palace
HO11517,"Manvar Sevan, The Desert Camp",moderate,3str,Manvar (RJ),DR10637,"Manvar Sevan, The Desert Camp"
HO12276,The Valle,first-class,5str,Munnar,DR12702,The Valle
HO11137,Aamaghati Wildlife Resort,moderate,5str,Ranthambore,DR11319,Aamaghati Wildlife Resort
HO11618,Chhota Haazri,first-class,1str,Darjeeling,DR12394,Chhota Haazri
HO12250,Gorkha Garden,budget,standard-hotel,Gorkha,DR12655,Gorkha Garden
HO11729,Dubare Elephant Camp,budget,1str,,DR11538,Dubare Elephant Camp
HO10702,Fortune Sullivan Court,moderate,3str,Ooty (Udhagamandalam),DR11060,Fortune Sullivan Court
HO11722,Tea Nest,budget,3str,,DR11538,Tea Nest
HO11657,Zaza Stay G-54,budget,1str,New Delhi,DR12673,Zaza Stay G-54
HO11802,The Flora Grand,budget,3str,,DR11538,The Flora Grand
HO11820,Sitara,budget,4str,,DR11538,Sitara
HO10258,Judges Court,moderate,3str,Pragpur,DR10737,Judges Court
HO11993,The Source,budget,3str,Nasik,DR11538,The Source
HO10874,"Maha Bodhi Hotel, Resort And Convention Centre",moderate,4str,Bodhgaya,DR10030,"Maha Bodhi Hotel, Resort And Convention Centre"
HO11420,Desert Tulip,moderate,4str,Jaisalmer,DR10319,Desert Tulip
HO11136,Eagles Nest,first-class,4str,Dharamshala,DR11493,Eagles Nest
HO10897,The Bagh,moderate,3str,Bharatpur,DR10885,The Bagh
HO12051,Sun-N-Sand,budget,4str,,DR11538,Sun-N-Sand
HO12024,Rivulet Hospitality,budget,4str,,DR11538,Rivulet Hospitality
HO10728,Ibis,budget,3str,Nasik,DR10565,Ibis
HO11734,Marriott Resort & Spa,budget,5str,Goa,DR11538,Marriott Resort & Spa
HO12023,Jw Marriott Sahar,budget,5str,Mumbai,DR11538,Jw Marriott Sahar
HO10953,Ahilya fort,first-class,4str,Maheshwar,DR10631,Ahilya fort
HO11429,Nirali Dhani,budget,4str,Jodhpur,DR11400,Nirali Dhani
HO10421,Devi Bhawan,budget,3str,Jodhpur,DR10332,Devi Bhawan
HO11250,Golden Crown Hotel And Spa,moderate,4str,Goa,DR11454,Golden Crown Hotel And Spa
HO11725,Wallwood Garden,budget,3str,,DR11538,Wallwood Garden
HO10237,"Banjaar Tola, A Taj Safari",lux,4str,Kanha,DR10564,"Banjaar Tola, A Taj Safari"
HO11644,Park Inn By Radisson,budget,4str,New Delhi,DR12451,Park Inn By Radisson
HO11570,Koder House,budget,4str,Kochi (Cochin),DR12367,Koder House
HO11212,Justa Gurgaon,moderate,4str,Gurgaon,DR11478,Justa Gurgaon
HO11469,Novotel,moderate,5str,Jodhpur,DR12244,Novotel
HO11123,Grand View,budget,3str,Dalhousie,DR10479,Grand View
HO10604,Blue Jelly-3BRH,houseboat-lux,houseboat-platinum,Alappuzha (Alleppey),DR10756,Blue Jelly-3BRH
HO11536,Coral Country Homestay,budget,1str,Agra,DR12338,Coral Country Homestay
HO11751,LaRisa Resort,budget,1str,,DR11538,LaRisa Resort
HO10252,Heritage Inn,budget,3str,Jaisalmer,DR10291,Heritage Inn
HO12096,Dr. Franklin'S Panchakarma Institute And Research,budget,1str,Thiruvananthapuram (Trivandrum),DR11538,Dr. Franklin'S Panchakarma Institute And Research
HO12154,Seashore Residency,budget,4str,,DR11538,Seashore Residency
HO10179,Samode Palace,lux,heritage,Samode,DR10672,Samode Palace
HO10187,Greenwoods,moderate,4str,Thekkady (Periyar/Kumily),DR10675,Greenwoods
HO12167,Spoorti Resort & Club House,budget,1str,,DR11538,Spoorti Resort & Club House
HO10334,Deventure Sarovar Portico,budget,4str,New Delhi,DR10533,Deventure Sarovar Portico
HO11582,The Leaf,moderate,5str,Munnar,DR10546,The Leaf
HO11967,Flamingo,moderate,3str,Mararikulam,DR12585,Flamingo
HO11145,Chobdar Haveli,budget,3str,Mandawa,DR11505,Chobdar Haveli
HO12214,Heritage Mandawa,moderate,3str,Mandawa,DR12518,Heritage Mandawa
HO12389,Sri Lanka Package,budget,1str,Kolkata,DR12902,Sri Lanka Package
HO11544,Flamingo Marari,moderate,1str,Mararikulam,DR12337,Flamingo Marari
HO11702,Athirappilly Green Trees Resorts,budget,4str,,DR11538,Athirappilly Green Trees Resorts
HO10360,The Chancery Pavilion,moderate,5str,Bengaluru,DR10859,The Chancery Pavilion
HO11034,Mayfair Convention,moderate,4str,Bhubaneswar,DR11428,Mayfair Convention
HO11918,Roopal International,budget,5str,,DR11538,Roopal International
HO10414,Lakend,moderate,5str,Udaipur (RJ),DR10129,Lakend
HO12168,New Hotel Broadway,budget,4str,Varanasi,DR12872,New Hotel Broadway
HO10230,Castle Bijaipur,moderate,heritage,Bijaipur,DR10576,Castle Bijaipur
HO10734,The Elephant Court,first-class,5str,Thekkady (Periyar/Kumily),DR11130,The Elephant Court
HO12279,Cedar Inn,moderate,1str,Darjeeling,DR12714,Cedar Inn
HO10090,Ramada Plaza by Wyndham Agra,moderate,5str,Agra,DR10193,Ramada Plaza by Wyndham Agra
HO10019,Syna Heritage,moderate,5str,Khajuraho,DR10032,Syna Heritage
HO12176,Ranthambhore Tiger Inn Comfort Resort,moderate,1str,Ranthambore,DR12308,Ranthambhore Tiger Inn Comfort Resort
HO11186,Boheda Manor,moderate,4str,Udaipur (RJ),DR12050,Boheda Manor
HO11167,The Pushkar Bagh,budget,4str,Pushkar,DR11471,The Pushkar Bagh
HO11172,Anuraga Palace,moderate,4str,Ranthambore,DR11498,Anuraga Palace
HO11834,Fairfield By Marriott,budget,4str,Kathmandu,DR11538,Fairfield By Marriott
HO12049,Mayfair Lake Resort,budget,5str,Raipur (CT) ,DR11538,Mayfair Lake Resort
HO12382,Flow test,budget,home-stay,Kovalam,DR12330,Flow test
HO12262,Kavya Resort & Spa,first-class,1str,Nagarkot,DR12655,Kavya Resort & Spa
HO11794,Waghoba Eco Lodge,first-class,3str,Tadoba,DR12715,Waghoba Eco Lodge
HO10137,Keys Select,budget,3str,Mumbai,DR10428,Keys Select
HO11048,The Pride,moderate,4str,Chennai,DR11405,The Pride
HO12055,Fortune Select Grand Ridge,budget,5str,Tirupati,DR11538,Fortune Select Grand Ridge
HO11099,Vivanta,first-class,4str,Mangaluru (Mangalore),DR11337,Vivanta
HO12352,The Ramayana,moderate,1str,Ayodhya,DR12206,The Ramayana
HO10584,Karni Bhawan Palace,moderate,3str,Bikaner,DR11009,Karni Bhawan Palace
HO10575,Fort Rajwada,first-class,5str,Jaisalmer,DR10719,Fort Rajwada
HO11537,Arcadia,budget,1str,Varanasi,DR12240,Arcadia
HO11911,Novotel (Hyderabad Airport),budget,5str,Hyderabad,DR11538,Novotel (Hyderabad Airport)
HO10200,Meluha The Fern,first-class,5str,Mumbai,DR10435,Meluha The Fern
HO10881,Crowne Plaza (Rohini),first-class,5str,New Delhi,DR10492,Crowne Plaza (Rohini)
HO11446,Nikkiâ€™s Nest,moderate,1str,Kovalam,DR11607,Nikkiâ€™s Nest
HO11418,Crest Inn,budget,3str,New Delhi,DR10869,Crest Inn
HO11457,The Legacy Mandawa,first-class,1str,Mandawa,DR12048,The Legacy Mandawa
HO10058,The Peerless Inn,moderate,4str,Kolkata,DR10034,The Peerless Inn
HO11353,Benzz Park,moderate,3str,Chennai,DR11799,Benzz Park
HO11579,Taj Guras Kutir Resort & Spa,first-class,1str,Gangtok,DR12294,Taj Guras Kutir Resort & Spa
HO10944,Balsamand Lake Palace,moderate,1str,Jodhpur,DR10330,Balsamand Lake Palace
HO11270,Arches,budget,3str,Kochi (Cochin),DR11485,Arches
HO12346,The Roseate Ganges,first-class,5str,Rishikesh,DR12787,The Roseate Ganges
HO11514,Manaltheeram Ayurvedic Hospital & Research Centre,moderate,3str,Kovalam,DR10443,Manaltheeram Ayurvedic Hospital & Research Centre
HO10161,Taj Fort Aguada Resort & Spa,lux,5str,Goa,DR10657,Taj Fort Aguada Resort & Spa
HO10515,Royal Desert Camp,moderate,3str,Pushkar,DR10940,Royal Desert Camp
HO11299,Green Palace,budget,3str,Puducherry (Pondicherry),DR11402,Green Palace
HO10183,Sangam,moderate,3str,Thanjavur (Tanjore),DR10673,Sangam
HO12190,Accord Chrome,budget,1str,Chennai,DR12501,Accord Chrome
HO10040,Brijrama Palace,lux,5str,Varanasi,DR10202,Brijrama Palace
HO11144,The Rajbari Bawali,first-class,1str,Kolkata,DR11515,The Rajbari Bawali
HO12091,Srm Hotel,budget,4str,,DR11538,Srm Hotel
HO12031,Star Emirates Luxury Resort & Spa,budget,4str,,DR11538,Star Emirates Luxury Resort & Spa
HO11072,Sterling (Kodai Valley),budget,4str,Kodaikanal,DR11370,Sterling (Kodai Valley)
HO11785,Simrose Resorts,budget,3str,,DR11538,Simrose Resorts
HO10123,Tiger Den Resort,moderate,4str,Ranthambore,DR10401,Tiger Den Resort
HO11825,The Tamara Kodai,first-class,5str,Kodaikanal,DR12572,The Tamara Kodai
HO12270,Dhampus Lodge,moderate,standard-hotel,Annapurna Region,DR12655,Dhampus Lodge
HO11597,Hotel Rudra Vilas,budget,4str,Jaipur,DR12353,Hotel Rudra Vilas
HO10216,Marigold,budget,4str,Jaipur,DR10285,Marigold
HO11059,Sterling - Orange Village,moderate,4str,Gangtok,DR11375,Sterling - Orange Village
HO11542,Anchorage 42,first-class,1str,Chandigarh,DR12302,Anchorage 42
HO11654,Exotica Cruises,budget,1str,,DR11538,Exotica Cruises
HO11985,Avana Resort,budget,1str,,DR11538,Avana Resort
HO11852,Barwara kothi,budget,1str,Jaipur,DR11538,Barwara kothi
HO11158,Chhotaram Prajapat's Homestay,budget,2str,Jodhpur,DR11553,Chhotaram Prajapat's Homestay
HO11600,Aalia Villas,first-class,3str,Goa,DR12388,Aalia Villas
HO11772,Copper Folia,budget,4str,Kozhikode (Calicut),DR12553,Copper Folia
HO10754,Crowne Plaza (Adyar Park),first-class,5str,Chennai,DR10360,Crowne Plaza (Adyar Park)
HO12039,The Grand Barso,moderate,1str,Bharatpur,DR12318,The Grand Barso
HO10534,Lemon Tree Premier,moderate,5str,Patna,DR10734,Lemon Tree Premier
HO10752,Hyatt Regency,first-class,5str,Ahmedabad,DR10677,Hyatt Regency
HO10018,Lemon Tree Premier (Aerocity),moderate,4str,New Delhi,DR10052,Lemon Tree Premier (Aerocity)
HO11645,Hilton Bengaluru Embassy Manyata Business,budget,5str,,DR11538,Hilton Bengaluru Embassy Manyata Business
HO10386,Royal Orchid,moderate,5str,Jaipur,DR10905,Royal Orchid
HO10279,Dev Shree,moderate,1str,Deogarh,DR10544,Dev Shree
HO10404,Efkay's Homestay,moderate,1str,Mysuru (Mysore),DR10768,Efkay's Homestay
HO10495,Dev Vilas,first-class,5str,Ranthambore,DR10950,Dev Vilas
HO11715,Renaissance Race Course,budget,5str,,DR11538,Renaissance Race Course
HO10000,Andaz,first-class,5str-lux,New Delhi,DR10014,Andaz
HO11012,Maya Luxury,first-class,1str,Pushkar,DR11259,Maya Luxury
HO11635,Novotel,moderate,5str,Ahmedabad,DR12443,Novotel
HO11541,The Residency Tower,first-class,5str,Rameshwaram,DR12222,The Residency Tower
HO10181,Indeco Hotels Swamimalai,moderate,4str,Kumbakonam,DR10421,Indeco Hotels Swamimalai
HO11883,The Fern Residency,budget,4str,Bhopal,DR11538,The Fern Residency
HO10432,Atithi,budget,4str,Puducherry (Pondicherry),DR10181,Atithi
HO11371,Park Plaza,moderate,5str,Zirakpur,DR11293,Park Plaza
HO10019,Syna Heritage,moderate,heritage,Khajuraho,DR10032,Syna Heritage
HO11971,Classic The Mall,budget,3str,,DR11538,Classic The Mall
HO12136,Velvet Clarks Exotica,moderate,4str,Zirakpur,DR12549,Velvet Clarks Exotica
HO11201,Coorg Wilderness Resort,moderate,5str,Coorg (Kodagu),DR11287,Coorg Wilderness Resort
HO11693,Dukes Forest Lodge,budget,3str,,DR11538,Dukes Forest Lodge
HO12245,Basera Boutique,moderate,luxury-heritage-boutique-hotel,Kathmandu,DR12655,Basera Boutique
HO11494,Taurus Sarovar Portico,budget,3str,New Delhi,DR12196,Taurus Sarovar Portico
HO11970,Tendu Leaf Jungle Resort & Spa,first-class,1str,Panna,DR12629,Tendu Leaf Jungle Resort & Spa
HO11543,Time Square,budget,1str,Alappuzha (Alleppey),DR12125,Time Square
HO10694,Windflower Resort & Spa,moderate,4str,Mysuru (Mysore),DR11074,Windflower Resort & Spa
HO11075,Holiday Inn,moderate,4str,Agra,DR11365,Holiday Inn
HO11966,Goldfinch,budget,4str,,DR11538,Goldfinch
HO11327,Adityaz,budget,3str,Gwalior,DR11803,Adityaz
HO12331,Bloom Hotel Juhu,budget,3str,Mumbai,DR12788,Bloom Hotel Juhu
HO11548,Chandra Raj Mahal,moderate,1str,Bikaner,DR12207,Chandra Raj Mahal
HO12027,The Westin Pune Koregaon Park,budget,5str,,DR11538,The Westin Pune Koregaon Park
HO12351,Ranthambhore Aangan,first-class,1str,Ranthambore,DR12669,Ranthambhore Aangan
HO11607,KD Palace,moderate,1str,Jaisalmer,DR12349,KD Palace
HO11640,Radisson Blu,budget,5str,Gorakhpur,DR11538,Radisson Blu
HO10194,Eighth Bastion,first-class,4str,Kochi (Cochin),DR10378,Eighth Bastion
HO11260,Lemon Tree,moderate,4str,Ahmedabad,DR11522,Lemon Tree
HO10339,Lakes And Lagoon,houseboat-first-class,houseboat-platinum,Kumarakom,DR10241,Lakes And Lagoon
HO10840,Fairfield By Marriott (Rajajinagar),moderate,4str,Bengaluru,DR10490,Fairfield By Marriott (Rajajinagar)
HO11230,Hampis Boulders,first-class,2str,Hampi (Hosapete),DR11355,Hampis Boulders
HO10245,GRT Regency,moderate,3str,Madurai,DR10726,GRT Regency
HO10127,Mayfair,first-class,5str,Darjeeling,DR10480,Mayfair
HO10762,Taj Amer,first-class,5str,Jaipur,DR11110,Taj Amer
HO10486,Deogarh Mahal,moderate,4str,Deogarh,DR10781,Deogarh Mahal
HO10946,WelcomHeritage Ranjit Vilas,moderate,5str,Amritsar,DR10523,WelcomHeritage Ranjit Vilas
HO12280,Denwa Backwater Escape,first-class,4str,Hoshangabad (Satpura),DR12716,Denwa Backwater Escape
HO11573,Taj Deccan,first-class,5str,Hyderabad,DR12369,Taj Deccan
HO12379,Nepal Package,first-class,5str,Jaipur,DR12655,Nepal Package
HO12017,Devonshire Greens,budget,4str,,DR11538,Devonshire Greens
HO10271,Aman-I-Khas,lux,5str,Ranthambore,DR10743,Aman-I-Khas
HO11625,The PL Palace,budget,4str,Agra,DR12618,The PL Palace
HO11856,Buena Vista,first-class,5str,Jaipur,DR12675,Buena Vista
HO10878,The Metropolitan Hotel & Spa,moderate,5str,New Delhi,DR10515,The Metropolitan Hotel & Spa
HO11733,Fairfield by Marriott,budget,4str,,DR11538,Fairfield by Marriott
HO11799,Bandipur Safari Lodge,budget,1str,,DR11538,Bandipur Safari Lodge
HO11858,The Gateway Resort Damdama Lake,first-class,5str,Gurgaon,DR12446,The Gateway Resort Damdama Lake
HO11107,Fortune Park,moderate,1str,Hubballi (Hubli),DR11367,Fortune Park
HO11141,RAAS,first-class,1str,Chhatrasagar,DR11276,RAAS
HO12233,Aabas,budget,standard-hotel,Pokhara,DR12655,Aabas
HO10964,Yois,budget,1str,Udaipur (RJ),DR11318,Yois
HO11748,La Grace Resort,budget,3str,Goa,DR12520,La Grace Resort
HO10178,Samode Bagh,first-class,1str,Samode,DR10404,Samode Bagh
HO11159,Shreyas Yoga Retreat,first-class,4str,Bengaluru,DR11360,Shreyas Yoga Retreat
HO10467,A Beach Symphony,first-class,2str,Mararikulam,DR10930,A Beach Symphony
HO10026,Raffles,lux,5str,Udaipur (RJ),DR10008,Raffles
HO10370,The Oberoi Vanyavilas,lux,5str,Ranthambore,DR10396,The Oberoi Vanyavilas
HO10989,Svasara Jungle Lodge,first-class,3str,Tadoba,DR11214,Svasara Jungle Lodge
HO10132,Fortune Park JP Celestial,moderate,3str,Bengaluru,DR10493,Fortune Park JP Celestial
